opeid,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1504,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1505,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1506,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1509,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1510,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1512,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1513,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1514,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1515,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1519,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1520,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1521,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1522,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1523,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1528,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1533,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1535,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1536,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1537,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1538,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1541,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1542,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1544,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1547,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1555,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1556,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1558,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1559,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1560,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1561,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1563,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1564,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1566,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1568,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1569,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1571,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1572,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1573,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1574,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1575,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1577,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1578,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1579,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1580,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1581,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1582,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1585,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1586,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1587,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1588,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1589,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1590,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1591,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1592,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1594,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1597,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1598,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1599,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1600,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1601,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1602,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1604,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1605,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1606,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1610,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1611,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1612,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1613,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1614,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1615,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1616,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1617,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1619,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1620,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1621,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1623,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1624,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1626,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1628,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1632,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1633,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1634,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1636,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1637,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
