opeid,stateabv,state,county,city,name,address,zipcode,zipext,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,congdis,region,averageorgreaterthan30,year2,num2,denom2,drate2,prate2,year3,num3,denom3,drate3,prate3,lat,lng,population,density,military,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3805,WA,Washington,Yakima,Yakima,YAKIMA VALLEY COLLEGE                                            ,16TH AVENUE & NOB HILL BOULEVARD                  ,98907,2520,6,1,2016,105,704,14.9,A,3,4,10,0,2015,123.0,797.0,15.4,A,2014,157.0,858.0,18.2,A,46.5923,-120.5496,133233.0,1302.0,False,33.3,49.3,50.7,43.1,3.4,42092.0,12.3,54.0,160269.0,921.0,18.3,61.9,7.9,75.2,1.5,1.1,1.7,0.1,17.0,3.5
3806,WV,West Virginia,Barbour,Philippi,ALDERSON BROADDUS UNIVERSITY                                     ,101 COLLEGE HILL DRIVE                            ,26416,1051,8,2,2016,43,324,13.2,A,5,1,3,0,2015,46.0,343.0,13.4,A,2014,38.0,288.0,13.1,A,39.1487,-80.0417,3076.0,461.0,False,34.8,45.4,54.6,29.7,2.91,22225.0,6.3,46.3,90972.0,434.0,21.2,46.9,11.0,90.4,3.7,1.8,0.0,0.0,0.3,3.8
3808,WV,West Virginia,Brooke,Bethany,BETHANY COLLEGE                                                  ,31 E CAMPUS DRIVE                                 ,26032,417,8,2,2016,59,277,21.2,A,5,1,3,0,2015,36.0,276.0,13.0,A,2014,41.0,274.0,14.9,A,40.2053,-80.5629,888.0,467.0,False,20.1,53.4,46.6,14.2,2.46,62857.0,22.7,67.2,119934.0,700.0,46.2,66.1,0.2,87.5,11.0,0.9,0.0,0.0,0.0,0.6
3809,WV,West Virginia,Mercer,Bluefield,BLUEFIELD STATE COLLEGE                                          ,219 ROCK STREET                                   ,24701,2198,6,1,2016,96,505,19.0,A,2,3,3,0,2015,139.0,679.0,20.4,A,2014,129.0,705.0,18.2,A,37.2608,-81.2143,41653.0,421.0,False,41.9,45.3,54.7,41.6,3.03,33510.0,10.7,66.6,76445.0,594.0,25.1,47.1,7.4,71.9,25.7,0.1,0.7,0.0,0.1,1.4
3810,WV,West Virginia,Mercer,Athens,CONCORD UNIVERSITY                                               ,VERMILLION STREET                                 ,24712,0,8,1,2016,86,664,12.9,A,5,3,3,0,2015,122.0,846.0,14.4,A,2014,122.0,830.0,14.6,A,37.423,-81.0148,921.0,903.0,False,22.0,55.8,44.2,31.2,2.49,42656.0,17.2,62.6,114587.0,650.0,50.5,49.1,8.6,89.0,7.3,1.0,0.0,0.0,0.6,2.0
3811,WV,West Virginia,Randolph,Elkins,DAVIS & ELKINS COLLEGE                                           ,100 CAMPUS DRIVE                                  ,26241,3996,6,2,2016,42,256,16.4,A,5,2,3,0,2015,30.0,267.0,11.2,A,2014,30.0,253.0,11.8,A,38.9237,-79.8541,10988.0,750.0,False,36.4,47.1,52.9,39.0,2.84,39470.0,12.6,58.5,113016.0,590.0,31.5,60.9,6.2,92.1,4.0,1.8,0.5,0.0,0.5,1.0
3812,WV,West Virginia,Marion,Fairmont,FAIRMONT STATE UNIVERSITY                                        ,1201 LOCUST AVENUE                                ,26554,2470,8,1,2016,133,1219,10.9,A,5,1,3,0,2015,147.0,1349.0,10.8,A,2014,199.0,1492.0,13.3,A,39.4768,-80.1491,32988.0,830.0,False,34.5,48.2,51.8,40.4,2.94,39759.0,15.1,62.5,105636.0,575.0,26.0,58.9,6.0,88.9,8.2,0.8,0.1,0.0,0.1,2.0
3813,WV,West Virginia,Gilmer,Glenville,GLENVILLE STATE COLLEGE                                          ,200 HIGH STREET                                   ,26351,1200,6,1,2016,65,369,17.6,A,5,1,3,0,2015,67.0,389.0,17.2,A,2014,92.0,467.0,19.7,A,38.9379,-80.8339,3273.0,570.0,False,23.2,50.4,49.6,25.1,3.47,22788.0,7.2,36.9,86030.0,433.0,35.7,52.0,20.9,76.3,9.0,0.6,0.0,0.0,3.0,11.1
3815,WV,West Virginia,Cabell,Huntington,MARSHALL UNIVERSITY                                              ,ONE JOHN MARSHALL DRIVE                           ,25755,3300,8,1,2016,338,3028,11.1,P,5,3,3,0,2015,333.0,3155.0,10.5,P,2014,328.0,3220.0,10.1,P,38.4109,-82.4344,194155.0,1120.0,False,34.3,48.1,51.9,33.4,3.04,30359.0,10.2,50.1,95544.0,608.0,27.7,51.3,8.0,85.6,8.7,1.6,0.2,0.1,0.5,3.3
3816,WV,West Virginia,Logan,Mount Gay,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE           ,2900 DEMPSEY BRANCH ROAD                          ,25637,2900,5,1,2016,20,93,21.5,P,5,3,3,0,2015,15.0,94.0,15.9,P,2014,28.0,90.0,31.1,P,37.85621,-82.02986999999999,774.0,100.6,False,49.0,51.8,48.2,52.9,2.69,26683.0,0.0,67.6,72197.0,547.0,2.5,42.6,41.1,95.6,4.4,0.0,0.0,0.0,0.0,0.0
