opeid,stateabv,state,county,city,name,address,zipcode,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,region,lat,lng,population,density,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3263,PA,Pennsylvania,Lebanon,Myerstown,EVANGELICAL THEOLOGICAL SEMINARY                                 ,121 SOUTH COLLEGE STREET                          ,17067,8,2,2016,3,57,5.2,B,5,3,40.3722,-76.3055,3205,1444,33.9,44.6,55.4,43.8,2.92,47095,8.4,54.4,141568,1089,8.3,64.2,8.7,94.1,0.2,0,0,0,4.2,1.4
3265,PA,Pennsylvania,Lancaster,Lancaster,FRANKLIN & MARSHALL COLLEGE                                      ,617 COLLEGE AVENUE                                ,17603,6,2,2016,3,331,0.9,A,5,3,40.042,-76.3012,404525,3189,31.6,50.1,49.9,33,3.31,40805,10.9,43.4,108401,935,20.8,66.1,9.6,59.9,17.5,4,0.2,0,13.7,4.6
3266,PA,Pennsylvania,Erie,Erie,GANNON UNIVERSITY                                                ,109 UNIVERSITY SQUARE                             ,16541,8,2,2016,36,895,4,P,5,3,42.1168,-80.0733,188079,1964,34.7,49.2,50.8,34.7,3.09,35802,9.3,51.4,87077,743,21.8,58.8,9.1,74.4,16.3,2.9,0.3,0,1.9,4.1
3267,PA,Pennsylvania,Beaver,Beaver Falls,GENEVA COLLEGE                                                   ,3200 COLLEGE AVENUE                               ,15010,8,2,2016,24,516,4.6,A,5,3,40.762,-80.3225,8483,1539,34.5,49.8,50.2,31,3.05,35368,11.9,47.5,61329,722,18.3,62.9,7.8,72.5,17.9,0.4,0,0,0.8,8.5
3268,PA,Pennsylvania,Adams,Gettysburg,GETTYSBURG COLLEGE                                               ,300 NORTH WASHINGTON STREET                       ,17325,6,2,2016,6,471,1.2,A,5,3,39.8304,-77.2339,7633,1775,22.7,49,51,22.7,2.88,37274,14.8,33.4,224106,967,35.6,50.1,8.7,81.6,5.8,2.3,0.1,0,5.7,4.5
3272,PA,Pennsylvania,Montgomery,Bryn Mawr,HARCUM COLLEGE                                                   ,750 MONTGOMERY AVENUE                             ,19010,5,2,2016,104,689,15,A,5,3,40.0227,-75.3156,3540,2156,21.9,33.2,66.8,21.9,2.96,58636,33.6,41.4,262317,1378,65.9,56.5,5.8,68.7,11.4,15.5,0,0,1.7,2.7
3273,PA,Pennsylvania,Dauphin,Harrisburg,HARRISBURG AREA COMMUNITY COLLEGE                                ,ONE HACC DRIVE                                    ,17110,5,1,2016,1177,6940,16.9,A,5,3,40.2752,-76.8843,441580,2339,31.1,46.7,53.3,26.4,3.27,35300,8.5,35.9,80825,847,19.6,64.9,12.8,33.8,51.9,5,0.3,0,4.8,4.2
3275,PA,Pennsylvania,Philadelphia,Philadelphia,HOLY FAMILY UNIVERSITY                                           ,9801 FRANKFORD AVENUE                             ,19114,8,2,2016,41,717,5.7,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3277,PA,Pennsylvania,Indiana,Indiana,INDIANA UNIVERSITY OF PENNSYLVANIA                               ,201 SUTTON HALL                    1011 SOUTH DRIV,15705,8,1,2016,298,4047,7.3,P,5,3,40.622,-79.1552,27105,2885,21.7,49.9,50.1,16.4,2.95,28125,7.7,36.3,109078,922,41,55.8,13.7,86.9,6.3,2.5,0.3,0.1,0.4,3.6
3279,PA,Pennsylvania,Huntingdon,Huntingdon,JUNIATA COLLEGE                                                  ,1700 MOORE STREET                                 ,16652,8,2,2016,14,332,4.2,A,5,3,40.5,-78.0098,11177,743,31.7,45.1,54.9,35.7,2.63,39440,8.7,50.7,110760,594,28.4,55.3,8.1,93.4,2.2,1.8,0,0,0.2,2.3
3282,PA,Pennsylvania,Luzerne,Wilkes-Barre,KINGS COLLEGE                                                    ,133 NORTH  RIVER STREET                           ,18711,8,2,2016,32,635,5,A,5,3,41.2468,-75.8759,40806,2257,34.6,49,51,31.8,3.24,32484,8.7,47.6,74480,682,15.7,56.2,11.1,74.6,14.1,1.8,0.3,0.1,5.4,3.7
3283,PA,Pennsylvania,Lackawanna,Scranton,LACKAWANNA COLLEGE                                               ,501 VINE STREET                                   ,18509,6,2,2016,167,852,19.6,A,5,3,41.4044,-75.6649,389022,1183,36.3,48.9,51.1,37,3.14,38683,12.1,50.2,103966,884,22.1,56,6.3,84.8,6.4,4.7,0.2,0,1.1,2.9
3284,PA,Pennsylvania,Northampton,Easton,LAFAYETTE COLLEGE                                                ,"MARKLE HALL, HIGH STREET                          ",18042,6,2,2016,4,371,1,A,5,3,40.6858,-75.2209,27109,2455,34.2,50.4,49.6,35.7,3.14,46835,17.5,45.4,127876,1136,20.2,60.3,7.5,68.7,15,3.3,1.3,0.1,4.6,7.1
3285,PA,Pennsylvania,Lancaster,Lancaster,LANCASTER BIBLE COLLEGE                                          ,901 EDEN ROAD                                     ,17601,8,2,2016,49,537,9.1,A,5,3,40.042,-76.3012,404525,3189,31.6,50.1,49.9,33,3.31,40805,10.9,43.4,108401,935,20.8,66.1,9.6,59.9,17.5,4,0.2,0,13.7,4.6
3286,PA,Pennsylvania,Lancaster,Lancaster,LANCASTER THEOLOGICAL SEMINARY OF THE UNITED CHURCH OF CHRIST    ,555 WEST JAMES STREET                             ,17603,8,2,2016,1,77,1.2,B,5,3,40.042,-76.3012,404525,3189,31.6,50.1,49.9,33,3.31,40805,10.9,43.4,108401,935,20.8,66.1,9.6,59.9,17.5,4,0.2,0,13.7,4.6
3287,PA,Pennsylvania,Philadelphia,Philadelphia,LA SALLE UNIVERSITY                                              ,1900 WEST OLNEY AVENUE                            ,19141,8,2,2016,74,1601,4.6,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3288,PA,Pennsylvania,Lebanon,Annville,LEBANON VALLEY COLLEGE                                           ,101 NORTH COLLEGE AVENUE                          ,17003,8,2,2016,8,451,1.7,A,5,3,40.3326,-76.5077,4881,1168,23.3,53.2,46.8,30.6,2.85,48265,13.5,61.4,142943,913,24.9,59.4,5.8,91.5,1.3,1.9,0.2,0,2.7,2.4
3289,PA,Pennsylvania,Northampton,Bethlehem,LEHIGH UNIVERSITY                                                ,27 MEMORIAL DRIVE WEST                            ,18015,8,2,2016,13,915,1.4,A,5,3,40.6266,-75.3679,75707,1529,35.1,48.7,51.3,37.1,3.07,51880,20.7,51.7,168177,1141,27.7,60.6,6.3,78.7,7,2.9,0.4,0,5.6,5.4
3291,PA,Pennsylvania,Adams,Gettysburg,UNITED LUTHERAN SEMINARY                                         ,61 SEMINARY RIDGE                                 ,17325,8,2,2016,4,74,5.4,P,5,3,39.8304,-77.2339,7633,1775,22.7,49,51,22.7,2.88,37274,14.8,33.4,224106,967,35.6,50.1,8.7,81.6,5.8,2.3,0.1,0,5.7,4.5
3293,PA,Pennsylvania,Lycoming,Williamsport,LYCOMING COLLEGE                                                 ,700 COLLEGE PLACE                                 ,17701,6,2,2016,21,379,5.5,A,5,3,41.2398,-77.0371,54389,1258,31.7,51.1,48.9,34.1,3.01,35818,12.8,47.9,101260,871,22.9,59.1,9,79.9,14.3,1.1,0,0,1.3,3.4
3294,PA,Pennsylvania,Montgomery,Jenkintown,MANOR COLLEGE                                                    ,700 FOX CHASE ROAD                                ,19046,6,2,2016,72,390,18.4,A,5,3,40.0962,-75.1296,4440,2963,39.5,42.1,57.9,47.6,3.06,87361,43.5,65.1,245610,1672,60.7,66.5,3.5,85.9,10.7,1.5,0,0,0,2
3296,PA,Pennsylvania,Lackawanna,Scranton,MARYWOOD UNIVERSITY                                              ,2300 ADAMS AVENUE                                 ,18509,8,2,2016,30,784,3.8,A,5,3,41.4044,-75.6649,389022,1183,36.3,48.9,51.1,37,3.14,38683,12.1,50.2,103966,884,22.1,56,6.3,84.8,6.4,4.7,0.2,0,1.1,2.9
3297,PA,Pennsylvania,Erie,Erie,MERCYHURST UNIVERSITY                                            ,501 EAST 38TH STREET                              ,16546,8,2,2016,110,1260,8.7,A,5,3,42.1168,-80.0733,188079,1964,34.7,49.2,50.8,34.7,3.09,35802,9.3,51.4,87077,743,21.8,58.8,9.1,74.4,16.3,2.9,0.3,0,1.9,4.1
3298,PA,Pennsylvania,Cumberland,Mechanicsburg,MESSIAH COLLEGE                                                  ,ONE COLLEGE AVENUE                                ,17055,8,2,2016,12,734,1.6,A,5,3,40.2115,-77.006,9016,1444,42.2,50.4,49.6,51.8,2.78,55859,19.6,64.5,165522,1074,31.3,71.9,3.7,96.1,1.4,0.6,0.1,0,1,0.8
3300,PA,Pennsylvania,Philadelphia,Philadelphia,MOORE COLLEGE OF ART AND DESIGN                                  ,20TH AND THE PARKWAY                              ,19103,8,2,2016,15,161,9.3,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3301,PA,Pennsylvania,Northampton,Bethlehem,MORAVIAN COLLEGE                                                 ,1200 MAIN STREET                                  ,18018,8,2,2016,19,531,3.5,P,5,3,40.6266,-75.3679,75707,1529,35.1,48.7,51.3,37.1,3.07,51880,20.7,51.7,168177,1141,27.7,60.6,6.3,78.7,7,2.9,0.4,0,5.6,5.4
3302,PA,Pennsylvania,Cambria,Cresson,MOUNT ALOYSIUS COLLEGE                                           ,7373 ADMIRAL PEARY HIGHWAY                        ,16630,8,2,2016,44,612,7.1,A,5,3,40.4626,-78.5866,10331,1272,42.4,46.3,53.7,44.6,2.62,40607,12.1,64.8,100041,713,22.7,59.3,8.2,95.4,0.3,2.8,0.1,0,0,1.4
3303,PA,Pennsylvania,Allegheny,Pittsburgh,CARLOW UNIVERSITY                                                ,3333 FIFTH AVENUE                                 ,15213,8,2,2016,65,821,7.9,A,5,3,40.4396,-79.9763,1715297,2108,32.9,48.9,51.1,31.2,2.9,44092,19,48.1,108716,818,41.9,63,7,66.6,23.6,5.6,0.2,0,0.5,3.4
3304,PA,Pennsylvania,Lehigh,Allentown,MUHLENBERG COLLEGE                                               ,2400 CHEW STREET                                  ,18104,6,2,2016,6,387,1.5,A,5,3,40.5961,-75.4755,682899,2668,31.8,48.4,51.6,33.6,3.36,38522,10.2,43.4,124165,1029,14.9,62.5,12.4,59.2,14.1,2.1,0.5,0.1,19.5,4.6
3306,PA,Pennsylvania,Chester,Phoenixville,UNIVERSITY OF VALLEY FORGE                                       ,1401 CHARLESTOWN ROAD                             ,19460,8,2,2016,28,272,10.2,A,5,3,40.1358,-75.5201,16943,1863,34.7,50.9,49.1,40.9,3.07,60006,26.6,53.2,222929,1354,39.7,75.6,6.2,83.5,7.8,1.9,0,0.2,4.5,2.2
