OPEID,Name,Address,City,State,StateDesc,ZipCode,ZipExt,ProgLength,SchoolType,Year1,Num1,Denom1,DRate1,PRate1,EthnicCode,CongDis,Region,AverageorGreaterthan30,Year2,Num2,Denom2,DRate2,PRate2,Year3,Num3,Denom3,DRate3,PRate3
2122,BAY PATH UNIVERSITY                                              ,588 LONGMEADOW STREET                             ,LONGMEADOW          ,MA,MASSACHUSETTS                                               ,1106,2212,8,Private,2016,52,1080,4.8,A,5,2,1,0,2015,58.0,970.0,5.9,A,2014,84.0,978.0,8.5,A
2123,BECKER COLLEGE                                                   ,61 SEVER STREET                                   ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1615,71,8,Private,2016,52,664,7.8,A,5,3,1,0,2015,47.0,631.0,7.4,A,2014,58.0,612.0,9.4,A
2124,BENTLEY UNIVERSITY                                               ,175 FOREST STREET                                 ,WALTHAM             ,MA,MASSACHUSETTS                                               ,2452,4705,8,Private,2016,8,802,0.9,P,5,7,1,0,2015,11.0,939.0,1.1,P,2014,13.0,846.0,1.5,P
2126,BERKLEE COLLEGE OF MUSIC                                         ,1140 BOYLSTON STREET                              ,BOSTON              ,MA,MASSACHUSETTS                                               ,2215,3693,8,Private,2016,59,991,5.9,P,5,8,1,0,2015,63.0,1016.0,6.2,P,2014,73.0,969.0,7.5,P
2128,BOSTON COLLEGE                                                   ,140 COMMONWEALTH AVENUE                           ,CHESTNUT HILL       ,MA,MASSACHUSETTS                                               ,2467,3800,8,Private,2016,31,2003,1.5,P,5,4,1,0,2015,27.0,2229.0,1.2,P,2014,21.0,2291.0,0.9,P
2130,BOSTON UNIVERSITY                                                ,OFFICE OF THE PRESIDENT            1 SILBER WAY   ,BOSTON              ,MA,MASSACHUSETTS                                               ,2215,1789,8,Private,2016,97,5617,1.7,P,5,8,1,0,2015,69.0,5541.0,1.2,P,2014,77.0,5688.0,1.3,P
2133,BRANDEIS UNIVERSITY                                              ,415 SOUTH STREET                                  ,WALTHAM             ,MA,MASSACHUSETTS                                               ,2453,2728,8,Private,2016,21,957,2.1,A,5,7,1,0,2015,10.0,917.0,1.0,A,2014,11.0,883.0,1.2,A
2139,CLARK UNIVERSITY                                                 ,950 MAIN STREET                                   ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1610,1473,8,Private,2016,11,554,1.9,A,5,3,1,0,2015,19.0,598.0,3.1,A,2014,21.0,575.0,3.6,A
2140,COLLEGE OF OUR LADY OF THE ELMS                                  ,291 SPRINGFIELD STREET                            ,CHICOPEE            ,MA,MASSACHUSETTS                                               ,1013,2839,8,Private,2016,38,519,7.3,A,5,2,1,0,2015,28.0,493.0,5.6,A,2014,32.0,399.0,8.0,A
2141,COLLEGE OF THE HOLY CROSS                                        ,1 COLLEGE STREET                                  ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1610,2395,6,Private,2016,9,497,1.8,A,5,3,1,0,2015,1.0,470.0,0.2,A,2014,6.0,486.0,1.2,A
2143,CURRY COLLEGE                                                    ,1071 BLUE HILL AVENUE                             ,MILTON              ,MA,MASSACHUSETTS                                               ,2186,2395,8,Private,2016,61,923,6.6,A,5,9,1,0,2015,67.0,887.0,7.5,A,2014,67.0,836.0,8.0,A
2144,DEAN COLLEGE                                                     ,99 MAIN STREET                                    ,FRANKLIN            ,MA,MASSACHUSETTS                                               ,2038,1994,6,Private,2016,66,458,14.4,A,5,3,1,0,2015,80.0,457.0,17.5,A,2014,70.0,482.0,14.5,A
2145,EASTERN NAZARENE COLLEGE                                         ,23 EAST ELM AVENUE                                ,QUINCY              ,MA,MASSACHUSETTS                                               ,2170,2999,8,Private,2016,28,343,8.1,A,5,10,1,0,2015,32.0,344.0,9.3,A,2014,16.0,286.0,5.5,A
2146,EMERSON COLLEGE                                                  ,120 BOYLSTON STREET                               ,BOSTON              ,MA,MASSACHUSETTS                                               ,2116,4624,8,Private,2016,19,1030,1.8,A,5,9,1,0,2015,24.0,1007.0,2.3,A,2014,29.0,979.0,2.9,A
2147,EMMANUEL COLLEGE                                                 ,400 THE FENWAY                                    ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,5798,8,Private,2016,25,593,4.2,A,5,8,1,0,2015,22.0,593.0,3.7,A,2014,20.0,538.0,3.7,A
2148,ENDICOTT COLLEGE                                                 ,376 HALE STREET                                   ,BEVERLY             ,MA,MASSACHUSETTS                                               ,1915,2098,8,Private,2016,20,836,2.3,A,5,6,1,0,2015,19.0,874.0,2.1,A,2014,17.0,743.0,2.2,A
2150,FISHER COLLEGE                                                   ,118 BEACON STREET                                 ,BOSTON              ,MA,MASSACHUSETTS                                               ,2116,1500,8,Private,2016,83,650,12.7,A,5,9,1,0,2015,112.0,728.0,15.3,A,2014,127.0,692.0,18.3,A
2151,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY                        ,41 BERKELEY STREET                                ,BOSTON              ,MA,MASSACHUSETTS                                               ,2116,6296,6,Private,2016,55,283,19.4,A,5,8,1,0,2015,53.0,285.0,18.5,A,2014,56.0,275.0,20.3,A
2153,GORDON COLLEGE                                                   ,255 GRAPEVINE ROAD                                ,WENHAM              ,MA,MASSACHUSETTS                                               ,1984,1899,8,Private,2016,11,484,2.2,P,5,6,1,0,2015,11.0,429.0,2.5,P,2014,6.0,438.0,1.3,P
2154,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY  ,50 GODDARD AVENUE                                 ,BROOKLINE           ,MA,MASSACHUSETTS                                               ,2445,7496,8,Private,2016,4,40,10.0,A,5,4,1,0,2015,0.0,34.0,0.0,A,2014,1.0,38.0,2.6,A
2155,HARVARD UNIVERSITY                                               ,MASSACHUSETTS HALL                                ,CAMBRIDGE           ,MA,MASSACHUSETTS                                               ,2138,3800,8,Private,2016,17,2015,0.8,P,5,8,1,0,2015,26.0,2146.0,1.2,P,2014,17.0,2406.0,0.7,P
2157,HEBREW COLLEGE                                                   ,160 HERRICK ROAD                                  ,NEWTON CENTRE       ,MA,MASSACHUSETTS                                               ,2459,2237,8,Private,2016,2,59,3.3,B,5,4,1,1,2015,1.0,30.0,3.3,A,2014,1.0,42.0,2.3,B
2158,LASELL COLLEGE                                                   ,1844 COMMONWEALTH AVENUE                          ,NEWTON              ,MA,MASSACHUSETTS                                               ,2466,2716,8,Private,2016,37,596,6.2,A,5,4,1,0,2015,37.0,694.0,5.3,A,2014,35.0,614.0,5.7,A
2160,LESLEY UNIVERSITY                                                ,29 EVERETT STREET                                 ,CAMBRIDGE           ,MA,MASSACHUSETTS                                               ,2138,2790,8,Private,2016,43,1413,3.0,P,5,8,1,0,2015,63.0,1580.0,3.9,P,2014,70.0,1621.0,4.3,P
2161,UNIVERSITY OF MASSACHUSETTS - LOWELL                             ,ONE UNIVERSITY AVENUE                             ,LOWELL              ,MA,MASSACHUSETTS                                               ,1854,2881,8,Public,2016,176,3371,5.2,P,5,5,1,0,2015,185.0,3585.0,5.1,P,2014,172.0,3332.0,5.1,P
2164,NEW ENGLAND COLLEGE OF OPTOMETRY (THE)                           ,424 BEACON STREET                                 ,BOSTON              ,MA,MASSACHUSETTS                                               ,2115,1129,8,Private,2016,0,91,0.0,P,5,8,1,0,2015,1.0,92.0,1.0,P,2014,0.0,98.0,0.0,P
