City,State,County,CityLatitude,CityLongitude,zips
Mattawa,Washington,Grant,46.7364,-119.9019,99349
Clallam Bay,Washington,Clallam,48.2536,-124.2579,98326
Prairie Ridge,Washington,Pierce,47.1443,-122.1408,98360 98391
Rockport,Washington,Skagit,48.4854,-121.6065,98283
Stansberry Lake,Washington,Pierce,47.3814,-122.7154,98329
Copalis Beach,Washington,Grays Harbor,47.1205,-124.1722,98535 98536
Frederickson,Washington,Pierce,47.0914,-122.3594,98387 98375 98446
Asotin,Washington,Asotin,46.3371,-117.0433,99402
Mill Creek,Washington,Snohomish,47.8633,-122.2034,98012 98082
Bell Hill,Washington,Clallam,48.055,-123.087,98382
Green Bluff,Washington,Spokane,47.818999999999996,-117.277,99021 99005
Clayton,Washington,Stevens,48.0013,-117.5612,99110
Puyallup,Washington,Pierce,47.1794,-122.2902,98372 98371 98374 98373 98352
Hockinson,Washington,Clark,45.7301,-122.4833,98606
Lake McMurray,Washington,Skagit,48.3129,-122.2317,98274
Bucoda,Washington,Thurston,46.7968,-122.868,98530
Issaquah,Washington,King,47.542,-122.0444,98029 98027
Odessa,Washington,Lincoln,47.3326,-118.6895,99159
Hazel Dell,Washington,Clark,45.6797,-122.6553,98665
McMillin,Washington,Pierce,47.1286,-122.2374,98360 98374
Wilbur,Washington,Lincoln,47.7583,-118.711,99185
Skamokawa Valley,Washington,Wahkiakum,46.3004,-123.4243,98647
Centerville,Washington,Klickitat,45.754,-120.9081,98613
Nile,Washington,Yakima,46.8368,-120.9455,98937
Spokane Valley,Washington,Spokane,47.6625,-117.2346,99206 99016 99212 99216 99037 99211 99213 99215
Woodland,Washington,Cowlitz,45.9149,-122.7503,98674
Lewisville,Washington,Clark,45.8127,-122.5144,98604
Vantage,Washington,Kittitas,46.9453,-119.9923,98950
Gorst,Washington,Kitsap,47.5237,-122.7057,98312 98367
Lake Morton-Berrydale,Washington,King,47.3325,-122.103,98092 98042
Ione,Washington,Pend Oreille,48.7402,-117.4223,99139
Bothell West,Washington,Snohomish,47.8056,-122.24,98021 98036 98012
Vaughn,Washington,Pierce,47.355,-122.7773,98329 98394
Black Diamond,Washington,King,47.313,-122.0181,98010
Ferndale,Washington,Whatcom,48.8525,-122.5893,98248
Acme,Washington,Whatcom,48.7146,-122.2293,98220
White Center,Washington,King,47.5086,-122.348,98106 98146 98168
Fairchild AFB,Washington,Spokane,47.6187,-117.6485,99011
Pacific,Washington,King,47.2611,-122.2507,98001 98047
Glenwood,Washington,Klickitat,46.0228,-121.2926,98619
Colfax,Washington,Whitman,46.9032,-117.3394,99111
Silvana,Washington,Snohomish,48.2018,-122.2459,98292
Forks,Washington,Clallam,47.9526,-124.3904,98331
Kirkland,Washington,King,47.6997,-122.2041,98034 98033 98011 98083
Okanogan,Washington,Okanogan,48.3671,-119.5784,98840
Kayak Point,Washington,Snohomish,48.1387,-122.3342,98292
Union Hill-Novelty Hill,Washington,King,47.6788,-122.0284,98053 98077
Outlook,Washington,Yakima,46.3311,-120.0923,98938
Lake Tapps,Washington,Pierce,47.2305,-122.1696,98391
Cohassett Beach,Washington,Grays Harbor,46.8656,-124.1054,98595
Tonasket,Washington,Okanogan,48.7077,-119.4412,98855
Sunnyside,Washington,Yakima,46.3159,-120.0058,98944
Lakeview,Washington,Grant,47.3755,-119.5043,98851
Carbonado,Washington,Pierce,47.0805,-122.0536,98323 98396
Pullman,Washington,Whitman,46.733999999999995,-117.1669,99164 99163
Blyn,Washington,Clallam,48.013000000000005,-122.9897,98382
Brinnon,Washington,Jefferson,47.6689,-122.9249,98320
Friday Harbor,Washington,San Juan,48.5324,-123.0655,98250
Orchards,Washington,Clark,45.6888,-122.5305,98682
Purdy,Washington,Pierce,47.3938,-122.6114,98332
Tekoa,Washington,Whitman,47.2247,-117.0732,99033
Tanner,Washington,King,47.4813,-121.6921,98045
Thorp,Washington,Kittitas,47.0656,-120.6709,98946
Artondale,Washington,Pierce,47.3024,-122.639,98335
Liberty Lake,Washington,Spokane,47.6687,-117.1032,99019 99016
Cheney,Washington,Spokane,47.4901,-117.5789,99004
Sammamish,Washington,King,47.6019,-122.0419,98029 98075 98074
Cle Elum,Washington,Kittitas,47.1946,-120.9553,98943 98922
Fern Prairie,Washington,Clark,45.637,-122.3963,98607
Waverly,Washington,Spokane,47.338,-117.2312,99012 99039
Lakewood,Washington,Pierce,47.1628,-122.5299,98499 98498 98496 98497
Lake Marcel-Stillwater,Washington,King,47.6926,-121.9152,98014
Central Park,Washington,Grays Harbor,46.9705,-123.7018,98520
Bridgeport,Washington,Douglas,48.0063,-119.6737,98813
Raft Island,Washington,Pierce,47.3293,-122.6686,98335
Larch Way,Washington,Snohomish,47.8429,-122.2527,98087 98037
Lake Bosworth,Washington,Snohomish,48.0532,-121.9812,98290 98252
Barberton,Washington,Clark,45.7136,-122.6114,98662 98686 98666 98668
Sekiu,Washington,Clallam,48.2637,-124.3012,98381
Brier,Washington,Snohomish,47.7922,-122.2734,98036
Spokane,Washington,Spokane,47.6671,-117.43299999999999,99201 99203 99202 99205 99204 99207 99208 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99258 99260
Fall City,Washington,King,47.5717,-121.9134,98024
Pasco,Washington,Franklin,46.2506,-119.1303,99301 99302
Lyman,Washington,Skagit,48.523,-122.0634,98263 98284
Oakville,Washington,Grays Harbor,46.8403,-123.2333,98568
Dash Point,Washington,Pierce,47.3131,-122.4153,98422
Herron Island,Washington,Pierce,47.2645,-122.8348,98349
West Clarkston-Highland,Washington,Asotin,46.4023,-117.06299999999999,99403
Royal City,Washington,Grant,46.9,-119.6142,99357
Venersborg,Washington,Clark,45.786,-122.4721,98604
Hoquiam,Washington,Grays Harbor,46.9863,-123.9023,98550
Willapa,Washington,Pacific,46.6755,-123.6648,98577
Quilcene,Washington,Jefferson,47.8369,-122.9058,98376
Freeland,Washington,Island,48.0185,-122.5358,98249
McCleary,Washington,Grays Harbor,47.0584,-123.2723,98557
Roosevelt,Washington,Klickitat,45.7476,-120.2161,99356
Long Beach,Washington,Pacific,46.3559,-124.0556,98631
Trout Lake,Washington,Klickitat,45.9976,-121.5291,98650
Coulee Dam,Washington,Okanogan,47.9688,-118.9761,99116
Swede Heaven,Washington,Snohomish,48.2829,-121.7136,98223
Pine Grove,Washington,Ferry,48.6502,-118.6834,99166
Langley,Washington,Island,48.0337,-122.4084,98260
Sedro-Woolley,Washington,Skagit,48.5113,-122.2321,98284
Hatton,Washington,Adams,46.7735,-118.8277,99344
Entiat,Washington,Chelan,47.678000000000004,-120.2175,98822
Bainbridge Island,Washington,Kitsap,47.6439,-122.5434,98110 98061
Auburn,Washington,King,47.3041,-122.211,98001 98002 98092
Ocean City,Washington,Grays Harbor,47.0763,-124.162,98569
White Swan,Washington,Yakima,46.3769,-120.7382,98952
Felida,Washington,Clark,45.7138,-122.7103,98685
Lacey,Washington,Thurston,47.0458,-122.7934,98503 98516 98509
Gold Bar,Washington,Snohomish,47.8566,-121.6927,98251
Clyde Hill,Washington,King,47.6303,-122.21799999999999,98004
Upper Elochoman,Washington,Wahkiakum,46.2403,-123.3247,98612
Marcus,Washington,Stevens,48.6642,-118.0601,99126 99151
Canyon Creek,Washington,Snohomish,48.1157,-121.9831,98223 98252
Malone,Washington,Grays Harbor,46.9779,-123.3035,98559 98541
Bothell East,Washington,Snohomish,47.8064,-122.1844,98021 98012
Yarrow Point,Washington,King,47.6452,-122.2179,98004
Steptoe,Washington,Whitman,47.0075,-117.3502,99111 99174
West Richland,Washington,Benton,46.3115,-119.3997,99320 99353
Orient,Washington,Ferry,48.8637,-118.2059,99160
Federal Way,Washington,King,47.309,-122.3359,98023 98003 98063 98093
Pe Ell,Washington,Lewis,46.5712,-123.2982,98572 98522
Deep River,Washington,Wahkiakum,46.3521,-123.6984,98638
Bothell,Washington,King,47.7736,-122.2044,98021 98011 98041
South Wenatchee,Washington,Chelan,47.3886,-120.2829,98801
Snoqualmie Pass,Washington,Kittitas,47.4014,-121.4109,98068
Hartline,Washington,Grant,47.6895,-119.1081,99135
Lake Forest Park,Washington,King,47.7597,-122.2878,98155
Crocker,Washington,Pierce,47.0843,-122.1225,98360
Elbe,Washington,Pierce,46.7653,-122.1946,98330
Ravensdale,Washington,King,47.3563,-121.9692,98051 98038
Arlington,Washington,Snohomish,48.1697,-122.1446,98223
McChord AFB,Washington,Pierce,47.1328,-122.4924,98439 98438
Lebam,Washington,Pacific,46.5641,-123.5509,98577 98554
Lynden,Washington,Whatcom,48.9503,-122.4544,98264
Coupeville,Washington,Island,48.2172,-122.6775,98239
Prescott,Washington,Walla Walla,46.2988,-118.3126,99348
South Bend,Washington,Pacific,46.668,-123.8008,98586 98577
Mabton,Washington,Yakima,46.2115,-119.9938,98935
North Bend,Washington,King,47.4898,-121.7738,98045
Grapeview,Washington,Mason,47.3316,-122.8413,98524 98546
Garfield,Washington,Whitman,47.0103,-117.1395,99130
Rochester,Washington,Thurston,46.8288,-123.0722,98579
Dayton,Washington,Columbia,46.3168,-117.9769,99328
Algona,Washington,King,47.2822,-122.2504,98001 98047
Mineral,Washington,Lewis,46.7193,-122.1859,98355
Barstow,Washington,Ferry,48.7783,-118.1329,99141
Moclips,Washington,Grays Harbor,47.2348,-124.2025,98571 98562
Bellingham,Washington,Whatcom,48.7543,-122.4687,98229 98225 98226 98228
Vader,Washington,Lewis,46.4045,-122.9569,98593
North Lynnwood,Washington,Snohomish,47.8533,-122.2762,98087 98037
Tracyton,Washington,Kitsap,47.6095,-122.6533,98311 98310 98393
White Salmon,Washington,Klickitat,45.7282,-121.4853,98672
Peaceful Valley,Washington,Whatcom,48.9477,-122.1406,98295 98244 98266
East Renton Highlands,Washington,King,47.4718,-122.0854,98027 98059 98038
Metaline,Washington,Pend Oreille,48.854,-117.3899,99152
Deming,Washington,Whatcom,48.8381,-122.2313,98247 98244
Medical Lake,Washington,Spokane,47.5712,-117.6893,99022
Aberdeen,Washington,Grays Harbor,46.9757,-123.8095,98520
Chehalis,Washington,Lewis,46.6637,-122.9647,98532
Onalaska,Washington,Lewis,46.5783,-122.7112,98570
Toledo,Washington,Lewis,46.4414,-122.8496,98591
Everson,Washington,Whatcom,48.9123,-122.351,98247
Belfair,Washington,Mason,47.4495,-122.8487,98528
Lynnwood,Washington,Snohomish,47.8285,-122.3035,98037 98036 98046
Colton,Washington,Whitman,46.5675,-117.1285,99113
Malden,Washington,Whitman,47.2296,-117.4731,99149
Ames Lake,Washington,King,47.6346,-121.9664,98053 98014
Wilson Creek,Washington,Grant,47.423,-119.1176,98860
North Yelm,Washington,Thurston,46.9647,-122.6029,98597
Mirrormont,Washington,King,47.4616,-121.9936,98027
Whidbey Island Station,Washington,Island,48.3387,-122.6616,98277 98278
Town and Country,Washington,Spokane,47.7259,-117.4221,99208
Tokeland,Washington,Pacific,46.708999999999996,-123.9839,98590
Snoqualmie,Washington,King,47.5293,-121.8412,98065
Bremerton,Washington,Kitsap,47.5436,-122.7121,98312 98314 98310 98367 98337
East Cathlamet,Washington,Wahkiakum,46.1968,-123.35799999999999,98612
Fort Lewis,Washington,Pierce,47.0955,-122.5672,98439 98433
Salmon Creek,Washington,Clark,45.7099,-122.6632,98686 98685
Skykomish,Washington,King,47.7103,-121.3586,98288
Tacoma,Washington,Pierce,47.2431,-122.4531,98422 98421 98402 98403 98404 98405 98408 98409 98406 98407 98465 98416 98418 98444 98401 98411 98412 98413 98415 98417 98419 98471 98481 98490
Monroe,Washington,Snohomish,47.8596,-121.9853,98272
Loomis,Washington,Okanogan,48.8235,-119.6398,98827
Pomeroy,Washington,Garfield,46.4737,-117.5967,99347
Brush Prairie,Washington,Clark,45.725,-122.5483,98606 98662
Silver Firs,Washington,Snohomish,47.8635,-122.1497,98296 98012 98208
Nespelem,Washington,Okanogan,48.167,-118.9722,99155
Meadowdale,Washington,Snohomish,47.8583,-122.3156,98026
Shadow Lake,Washington,King,47.4017,-122.0764,98058 98038
LaCrosse,Washington,Whitman,46.8021,-117.9013,99143
Concrete,Washington,Skagit,48.5371,-121.7512,98237
Sumas,Washington,Whatcom,48.9956,-122.2695,98295
Ruston,Washington,Pierce,47.2982,-122.51,98407
La Center,Washington,Clark,45.8589,-122.6764,98629 98642
Marrowstone,Washington,Jefferson,48.0568,-122.6933,98358
Chelan Falls,Washington,Chelan,47.7995,-119.9882,98817
Lake Cavanaugh,Washington,Skagit,48.3225,-122.0122,98274
Duluth,Washington,Clark,45.7838,-122.647,98642
Sequim,Washington,Clallam,48.0747,-123.0944,98382
Benton City,Washington,Benton,46.2624,-119.4814,99320
Moses Lake,Washington,Grant,47.1284,-119.2741,98837
Fircrest,Washington,Pierce,47.2308,-122.5157,98466
Othello,Washington,Adams,46.8222,-119.1651,99344
Mercer Island,Washington,King,47.5625,-122.2265,98040
Enumclaw,Washington,King,47.2017,-121.9897,98022
