opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1020,0.138401559,0.543777623,0.5524113970000001,0.564728884,0.649607577,0.6590940479999999,0.625078984,0.549441127,0.326508621,0.428839746,0.42631972799999995,0.469045121,0.379709942,0.375883818,0.621088516,0.545432821,0.533193681,0.35309973,0.350427315,0.7,0.203597248,0.6970243359999999,0.36465533,0.9075342470000001,0.10231999900000001,0.0,0.7135627529999999,0.371886525,0.7075243370000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1022,0.31384015600000004,0.585328423,0.571828476,0.639505904,0.615388559,0.62127183,0.581249013,0.575684368,0.25,0.42540375700000005,0.422563984,0.43441762899999997,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.4,0.136694484,0.933738684,0.227508995,0.8304794520000001,0.231227952,0.0,0.236842105,0.36198785,0.657635681,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1029,0.333333333,0.458548267,0.442289713,0.560292749,0.5305224270000001,0.53641584,0.50364512,0.5692132560000001,0.275862069,0.475820116,0.43005100399999996,0.535152151,0.330458876,0.375951915,0.633554973,0.5342670860000001,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.8584883729999999,0.28124038100000004,0.9075342470000001,0.133905189,0.0,0.447368421,0.39604382,0.584498228,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1031,0.440545809,0.65233852,0.6021119629999999,0.610548547,0.503297247,0.48967521299999994,0.436663635,0.36831399200000003,0.073275862,0.418498511,0.422563984,0.67366212,0.326964817,0.35658464,0.547639081,0.604374698,0.537776235,0.6415094339999999,0.26917468899999997,0.4,0.0,0.10241870800000001,0.41684203799999997,0.7652792409999999,0.368084662,0.0,0.922064777,0.285206526,0.5526300470000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1033,0.33723196899999996,0.5966606289999999,0.582400283,0.577560458,0.535455724,0.542378785,0.506602813,0.521687334,0.421336207,0.372494661,0.441102669,0.558237146,0.41325433899999997,0.46466352899999996,0.73660923,0.46146037,0.515242971,0.544474394,0.633861286,0.7,0.29789139800000003,0.753853896,0.342192007,0.7652792409999999,0.21018642199999998,0.003816794,0.6184210529999999,0.410911753,0.565836498,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1036,0.31384015600000004,0.24515115199999998,0.230700527,0.322995532,0.570934223,0.575697413,0.5329390589999999,0.575684368,0.25,0.42540375700000005,0.422563984,0.43441762899999997,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.7,0.136694484,0.933738684,0.227508995,0.8304794520000001,0.231227952,0.0,0.236842105,0.36198785,0.657635681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1038,0.33528265100000004,0.7447709779999999,0.712527847,0.728129657,0.494388922,0.504642895,0.472489606,0.485199438,0.172413793,0.462606251,0.491827009,0.628541448,0.31223261399999996,0.388222777,0.561049166,0.546662065,0.45487406700000005,0.598382749,0.326742913,0.4,0.07824930599999999,0.24654435600000002,0.239134147,1.0,0.066208191,0.0,0.9564777329999999,0.371397528,0.524082825,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1041,0.333333333,0.45057145,0.42774203200000005,0.458400834,0.496597764,0.499107495,0.45677431799999996,0.5692132560000001,0.275862069,0.475820116,0.43005100399999996,0.535152151,0.330458876,0.375951915,0.633554973,0.5342670860000001,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.8584883729999999,0.28124038100000004,0.9075342470000001,0.133905189,0.0,0.447368421,0.39604382,0.584498228,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1044,0.175438596,0.684975983,0.687713018,0.755222568,0.507991095,0.507176284,0.457804438,0.58970506,0.36637931,0.45927713700000006,0.431907614,0.445960126,0.41683554,0.395854165,0.649170341,0.561242211,0.526391751,0.382749326,0.572111656,0.5,0.291340036,0.830477925,0.202660068,0.8304794520000001,0.161973219,0.003816794,0.504048583,0.45436426,0.593362341,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1046,0.38596491200000005,0.7311117220000001,0.75761999,0.7591292620000001,0.519519046,0.466231998,0.449232755,0.47421663700000005,0.10344827599999999,0.36523829799999996,0.45907401700000006,0.533053515,0.24728072399999998,0.27499772899999997,0.491929875,0.673526576,0.493623835,0.363881402,0.354977166,0.5,0.183362057,0.84851262,0.202660068,0.7093933459999999,0.241125384,0.0,0.470647773,0.248070089,0.78586214,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
