opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log
41223,0.339181287,0.698327993,0.685892175,0.719130425,0.693192432,0.722031106,0.693318354,0.585730658,0.577586207,0.386861446,0.446551265,0.610703043,0.496186358,0.616840714,0.830113194,0.288575097,0.508663814,0.730458221,0.478465792,0.7,0.364794162,0.414489129,0.37175053,0.830479452,0.102319999,0,0.868421053,0.611297486,0.402154598
41239,0.286549708,0.494544482,0.527313067,0.558043194,0.376608872,0.355044121,0.303313869,0.547853812,0.424568966,0.379702159,0.45373912,0.517313746,0.420910117,0.471720372,0.71702895,0.383190319,0.500016922,0.529649596,0.635622753,0.2,0.354896584,0.597257715,0.391993111,0.765279241,0.330160622,0.003816794,0.753036437,0.480358005,0.524082825
41241,0.356725146,0.494544482,0.731111722,0.851778128,0.296833812,0.309351038,0.230703312,0.485199438,0.165948276,0.376104477,0.466114941,0.541448059,0.304679966,0.362479441,0.553484378,0.521635949,0.485219776,0.595687332,0.292724288,0.2,0.09429415,0.602809874,0.309042308,1,0,0,0.822874494,0.345083416,0.69589745
41245,0.421052632,0.670746863,0.708447142,0.759129262,0.434019304,0.442612964,0.423653956,0.667077535,0.524784483,0.401037937,0.444740646,0.764952781,0.468885089,0.638357306,0.846387604,0.37993951,0.510847823,0.698113208,0.452044857,0.4,0.263116599,0.478798222,0.391993111,1,0.084909498,0,0.860323887,0.614715527,0.408031236
41247,0.358674464,0.439457267,0.35722981,0.40458156,0.42729814,0.430116117,0.409005373,0.637565851,0.494612069,0.488872832,0.476527132,0.728226653,0.516798218,0.642826619,0.857615982,0.290557921,0.472864307,0.754716981,0.475119678,0.5,0.780673241,0.363410763,0.422716454,0.709393346,0.575964141,0,0.544534413,0.653547947,0.479073957
41251,0.288499025,0.791021216,0.791021216,0.64583498,0.183444922,0.175587983,0.08051676,0.711042818,0.474137931,0.462606251,0.471342973,0.476390346,0.566384217,0.514447751,0.763114095,0.328412168,0.479004975,0.481132075,0.828409435,0.2,0.354896584,0.512389268,0.404700046,0.491438356,0.472353336,0.003816794,0.766194332,0.58366641,0.45580918
41254,0.255360624,0.540225427,0.532941411,0.624616445,0.39830151,0.398429906,0.340533535,0.659860831,0.501077586,0.479098248,0.481668503,0.426023085,0.537281279,0.534365549,0.775639525,0.286582809,0.466796453,0.495956873,0.781378786,0.2,0.483590741,0.468891495,0.385410869,0.660958904,0.515106373,0.003816794,0.746963563,0.624537898,0.450903055
41255,0.216374269,0.616432306,0.563948368,0.57963319,0.30369982,0.311488873,0.241272828,0.604044335,0.256465517,0.459277137,0.481668503,0.44386149,0.342819982,0.402862468,0.628099403,0.434124844,0.466796453,0.495956873,0.518346127,0.2,0.277656207,0.609556867,0.460639607,0.765279241,0.616331567,0.003816794,0.665991903,0.418788225,0.487841177
41260,0.46588694,0.53842725,0.515597832,0.626317716,0.3924402,0.405651396,0.346501359,0.570536512,0.466594828,0.418498511,0.399487178,0.724029381,0.463887628,0.591553061,0.810737395,0.371720126,0.56610656,0.711590296,0.386521017,0.2,0.462296059,0.592998743,0.36465533,1,0.084909498,0,0.760121457,0.571864636,0.4303255
41269,0.276803119,0.405580346,0.548999057,0.562521182,0.3924402,0.39135638,0.336029009,0.676378906,0.142241379,0.611327311,0.471342973,0.365162644,0.379935916,0.361459628,0.557298558,0.426707765,0.479004975,0.526954178,0.650615598,0.2,0.316505969,0.539663626,0.515452776,0.907534247,0.607397814,0,0.699392713,0.459469795,0.542278705
41271,0.187134503,0.305731339,0.344353999,0.322995532,0.572967416,0.602469974,0.568399989,0.681826316,0.162715517,0.617097187,0.464362319,0.36726128,0.434246853,0.381724444,0.636233949,0.524181723,0.487308083,0.471698113,0.566121488,0.7,0.603547213,0.414489129,0.493933792,0.547945205,0.797747458,0.003816794,0.527327935,0.498067378,0.757534005
