proprietary,opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
0,2710,0.323586745,0.47122317,0.463707536,0.454936154,0.348517013,0.35377432299999995,0.296571489,0.924795048,0.368534483,0.539547832,0.430051004,0.292759706,0.6880444490000001,0.501061572,0.768356325,0.450108017,0.528649554,0.485175202,1.0,0.7,0.629778707,0.7040260770000001,0.398420463,0.7093933459999999,0.701241065,0.003816794,0.421052632,0.679437187,0.581476995,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,3965,0.2417154,0.509493793,0.45057145,0.4781894820000001,0.529205301,0.535528546,0.48088603,0.842456031,0.483836207,0.43908202,0.437442024,0.321091291,0.648165259,0.525176133,0.793541354,0.366723059,0.519674669,0.35309973,0.87348979,0.5,0.5468310989999999,0.7124732770000001,0.484827954,0.7093933459999999,0.5309828129999999,0.0,0.522267206,0.7232049229999999,0.565836498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,21963,0.290448343,0.685892175,0.66275779,0.745164863,0.45402188,0.475801469,0.432410395,0.581016246,0.139008621,0.523968089,0.5309392620000001,0.542497377,0.23881115100000005,0.32847318600000003,0.399419765,0.468446024,0.409853716,0.478436658,0.096167761,0.3,0.0,0.088355089,0.271306565,1.0,0.0,0.0,0.977732794,0.16444617,0.562595534,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,1773,0.397660819,0.560714292,0.642512596,0.641104067,0.512435038,0.5206077029999999,0.468683512,0.7011662559999999,0.192887931,0.488872832,0.444740646,0.578174187,0.440827182,0.430060196,0.6883047090000001,0.383190319,0.510847823,0.7115902959999999,0.330698846,0.4,0.203597248,0.20821594,0.36465533,1.0,0.578526114,0.0,0.851214575,0.549922339,0.527822414,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,41488,0.243664717,0.294895127,0.0,0.372273815,0.353502935,0.338379097,0.271078981,0.773072715,0.493534483,0.449227209,0.481668503,0.447009444,0.477432704,0.488684007,0.746612266,0.268202571,0.466796453,0.41509434,0.8327334359999999,0.4,0.452536949,0.651709117,0.484827954,0.445205479,0.447913072,0.0,0.634615385,0.587896211,0.52029019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3737,0.350877193,0.369383223,0.31605134,0.386661632,0.5630573329999999,0.568266147,0.538138065,0.662781405,0.323275862,0.482366371,0.451950251,0.429171039,0.481968205,0.447193992,0.700638275,0.444347527,0.502165383,0.517520216,0.507137817,0.7,0.263116599,0.5205364020000001,0.465651672,0.7652792409999999,0.343445382,0.003816794,0.799595142,0.502982567,0.445905223,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,42108,0.384015595,0.744073138,0.673668423,0.731418296,0.200198794,0.222841923,0.19760453100000006,0.6741447159999999,0.30172413800000003,0.593828674,0.437442024,0.782791186,0.484051427,0.582071195,0.768356325,0.370059999,0.519674669,0.611859838,0.449455994,0.4,0.344558971,0.7299791459999999,0.160553834,0.8304794520000001,0.285511775,0.0,0.655870445,0.59649471,0.413781485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9459,0.319688109,0.591068601,0.58964775,0.660956419,0.6185336370000001,0.63637035,0.63446793,0.665144338,0.485991379,0.361591584,0.464362319,0.4123819520000001,0.515870102,0.461394253,0.706560492,0.332026604,0.487308083,0.438005391,0.597764226,0.2,0.364794162,0.495120001,0.37175053,0.907534247,0.133905189,0.0,0.837044534,0.617844206,0.470009486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,21108,0.286549708,0.591068601,0.5733706820000001,0.539235234,0.5369478560000001,0.538880357,0.501080979,0.7048993170000001,0.451508621,0.52082474,0.476527132,0.441762854,0.681093079,0.573787549,0.8082712740000001,0.388028195,0.472864307,0.543126685,0.840921549,0.5,0.669580601,0.436143431,0.493933792,0.7093933459999999,0.498163625,0.015267176,0.642712551,0.715402718,0.555993315,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,4844,0.263157895,0.648026356,0.585328423,0.650473427,0.6944043790000001,0.713009181,0.6938753259999999,0.6687904410000001,0.510775862,0.4356788070000001,0.441102669,0.495278069,0.480411696,0.522330387,0.752248406,0.326594192,0.515242971,0.495956873,0.739253994,0.4,0.400643134,0.74042891,0.34988687700000004,0.7652792409999999,0.434743884,0.003816794,0.585020243,0.5587878789999999,0.4790739570000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
